Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
525500,182610,Serious,Driver or rider,Male,14,12/05/2010,Wednesday,20,Westminster,Pedal cycle,Not a pedestrian
528440,183650,Serious,Pedestrian,Male,38,28/04/2010,Wednesday,9,Camden,Car,Not a pedestrian
528170,178800,Serious,Driver or rider,Male,38,14/05/2010,Friday,13,Westminster,Motorcycle over 125cc and up to 500cc,Not a pedestrian
529700,182630,Serious,Pedestrian,Female,unknown,14/05/2010,Friday,18,Camden,Bus or coach (17 or more pass seats),Not a pedestrian
530340,179660,Serious,Driver or rider,Male,34,16/05/2010,Sunday,1,Westminster,Car,Not a pedestrian
528380,182220,Serious,Driver or rider,Male,25,17/05/2010,Monday,18,Westminster,Pedal cycle,Not a pedestrian
529040,184000,Serious,Pedestrian,Male,21,09/05/2010,Sunday,3,Camden,Car,"In carriageway, not crossing"
530480,181700,Serious,Pedestrian,Male,54,19/05/2010,Wednesday,6,Camden,Motorcycle over 500cc,Not a pedestrian
529090,184040,Serious,Driver or rider,Male,26,21/05/2010,Friday,14,Camden,Car,Not a pedestrian
530090,182800,Serious,Driver or rider,Male,28,23/04/2010,Friday,17,Camden,Motorcycle over 500cc,Not a pedestrian
529350,181640,Serious,Pedestrian,Male,67,25/05/2010,Tuesday,12,Westminster,Goods 3.5 tonnes maximum gross weight or under,Crossing on ped. crossing facility
529900,181010,Serious,Pedestrian,Male,27,26/05/2010,Wednesday,21,Westminster,Taxi/Private hire car,Not a pedestrian
527640,180940,Serious,Driver or rider,Female,31,20/05/2010,Thursday,20,Westminster,Pedal cycle,Not a pedestrian
526690,180890,Serious,Pedestrian,Male,32,27/05/2010,Thursday,16,Westminster,Car,Not a pedestrian
529310,180420,Serious,Driver or rider,Female,39,16/05/2010,Sunday,1,Westminster,Pedal cycle,"In carriageway, crossing elsewhere"
528450,184340,Serious,Driver or rider,Male,22,29/05/2010,Saturday,4,Camden,Motor cycle 125cc and under,Crossing elsewhere within 50m. of ped.crossing
528890,183860,Serious,Pedestrian,Male,unknown,29/05/2010,Saturday,23,Camden,Motor cycle 125cc and under,Not a pedestrian
529110,184320,Serious,Driver or rider,Male,26,21/04/2010,Wednesday,18,Camden,Pedal cycle,"In carriageway, crossing elsewhere"
528740,180080,Serious,Pedestrian,Male,59,11/05/2010,Tuesday,9,Westminster,Taxi/Private hire car,Not a pedestrian
528930,180780,Serious,Driver or rider,Male,36,25/05/2010,Tuesday,17,Westminster,Motorcycle over 500cc,"In carriageway, crossing elsewhere"
527680,182190,Serious,Pedestrian,Female,5,13/06/2010,Sunday,14,Westminster,Car,Crossing on ped. crossing facility
527470,181260,Serious,Driver or rider,Male,43,14/06/2010,Monday,8,Westminster,Pedal cycle,Crossing on ped. crossing facility
525280,184380,Serious,Driver or rider,Male,37,23/05/2010,Sunday,4,Camden,Pedal cycle,Not a pedestrian
529720,180270,Serious,Pedestrian,Male,12,15/06/2010,Tuesday,14,Westminster,Car,"In carriageway, not crossing"
526870,182500,Serious,Driver or rider,Male,8,24/05/2010,Monday,18,Westminster,Pedal cycle,Not a pedestrian
526760,180770,Serious,Passenger,Male,70,06/06/2010,Sunday,17,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
526050,180980,Serious,Driver or rider,Male,30,16/06/2010,Wednesday,19,Westminster,Motor cycle 125cc and under,Not a pedestrian
528540,180120,Serious,Driver or rider,Male,25,16/06/2010,Wednesday,7,Westminster,Motorcycle over 500cc,Not a pedestrian
526810,185550,Serious,Passenger,Female,52,18/06/2010,Friday,13,Camden,Bus or coach (17 or more pass seats),Not a pedestrian
526400,184550,Serious,Driver or rider,Male,33,04/06/2010,Friday,15,Camden,Motorcycle over 500cc,Not a pedestrian
529410,182010,Serious,Pedestrian,Male,46,21/06/2010,Monday,20,Camden,Car,Not a pedestrian
528840,177940,Serious,Driver or rider,Male,30,22/06/2010,Tuesday,9,Westminster,Pedal cycle,Crossing elsewhere within 50m. of ped.crossing
526260,181750,Serious,Driver or rider,Female,41,12/06/2010,Saturday,20,Westminster,Car,Not a pedestrian
528940,178380,Serious,Driver or rider,Female,53,22/06/2010,Tuesday,18,Westminster,Car,"In carriageway, crossing elsewhere"
526350,181700,Serious,Driver or rider,Male,61,23/06/2010,Wednesday,16,Westminster,Motorcycle over 125cc and up to 500cc,Not a pedestrian
529590,183500,Serious,Pedestrian,Female,28,15/06/2010,Tuesday,20,Camden,Taxi/Private hire car,Not a pedestrian
528780,181170,Serious,Pedestrian,Female,29,26/06/2010,Saturday,17,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
